=============================
Sun Aug 11 06:05:40 2013
5 3
frame#1 bp#1 (Ie_c, Ie_s, Ie_c_prev, Ie_s_prev)
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,

frame#1 bp#2 (Ie_c, Ie_s, Ie_c_prev, Ie_s_prev)
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,

frame#1 bp#3 (Ie_c, Ie_s, Ie_c_prev, Ie_s_prev)
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,

frame#1 bp#4 (Ie_c, Ie_s, Ie_c_prev, Ie_s_prev)
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,

frame#1 bp#5 (Ie_c, Ie_s, Ie_c_prev, Ie_s_prev)
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,

frame#1 bp#6 (Ie_c, Ie_s, Ie_c_prev, Ie_s_prev)
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,

frame#1 bp#7 (Ie_c, Ie_s, Ie_c_prev, Ie_s_prev)
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,

frame#1 bp#8 (Ie_c, Ie_s, Ie_c_prev, Ie_s_prev)
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,

frame#2 bp#1 (Ie_c, Ie_s, Ie_c_prev, Ie_s_prev)
0.713785,0.901588,0.951692,
0.663614,0.809495,0.840161,
0.704658,0.895284,0.949767,
0.657376,0.802312,0.833781,

frame#2 bp#2 (Ie_c, Ie_s, Ie_c_prev, Ie_s_prev)
0.701741,0.861430,0.905819,
0.537591,0.664107,0.691836,
0.705011,0.867619,0.911481,
0.535969,0.664190,0.691468,

frame#2 bp#3 (Ie_c, Ie_s, Ie_c_prev, Ie_s_prev)
0.708756,0.814230,0.837051,
0.345503,0.419587,0.436531,
0.697372,0.802538,0.828972,
0.335652,0.412596,0.429060,

frame#2 bp#4 (Ie_c, Ie_s, Ie_c_prev, Ie_s_prev)
0.709176,0.783240,0.796148,
0.253451,0.294353,0.301930,
0.699248,0.772873,0.785441,
0.247873,0.288260,0.296953,

frame#2 bp#5 (Ie_c, Ie_s, Ie_c_prev, Ie_s_prev)
0.704665,0.749479,0.755580,
0.152947,0.173476,0.177807,
0.706676,0.748950,0.754125,
0.152216,0.168387,0.173488,

